frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Protocol
"1753735500.199383000","192.168.56.101","192.168.56.102","37361","6200","73","TCP"
"1753735500.201575000","192.168.56.102","192.168.56.101","6200","37361","71","TCP"
"1753735500.203090000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735505.327613000",,,,,"60","ARP"
"1753735505.327801000",,,,,"60","ARP"
"1753735507.135040000","192.168.56.101","192.168.56.102","37361","6200","75","TCP"
"1753735507.138005000","192.168.56.102","192.168.56.101","6200","37361","107","TCP"
"1753735507.138043000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735515.345560000","192.168.56.101","192.168.56.102","37361","6200","75","TCP"
"1753735515.346281000","192.168.56.102","192.168.56.101","6200","37361","81","TCP"
"1753735515.346646000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735532.496451000","192.168.56.101","192.168.56.102","37361","6200","75","TCP"
"1753735532.497305000","192.168.56.102","192.168.56.101","6200","37361","155","TCP"
"1753735532.497309000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735544.202458000","192.168.56.101","192.168.56.102","37361","6200","82","TCP"
"1753735544.203784000","192.168.56.102","192.168.56.101","6200","37361","1514","TCP"
"1753735544.203790000","192.168.56.102","192.168.56.101","6200","37361","199","TCP"
"1753735544.212991000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735552.798007000","192.168.56.102","192.168.56.101","21","45169","80","FTP"
"1753735552.798009000","192.168.56.102","192.168.56.101","21","45169","66","TCP"
"1753735552.807137000","192.168.56.101","192.168.56.102","45169","21","60","TCP"
"1753735552.807140000","192.168.56.101","192.168.56.102","45169","21","60","TCP"
"1753735554.231238000","192.168.56.101","192.168.56.102","37361","6200","75","TCP"
"1753735554.243177000","192.168.56.102","192.168.56.101","6200","37361","71","TCP"
"1753735554.243423000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735554.244100000","192.168.56.102","192.168.56.101","6200","37361","70","TCP"
"1753735554.244103000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735554.244379000","192.168.56.102","192.168.56.101","6200","37361","94","TCP"
"1753735554.244380000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735561.982439000","192.168.56.101","192.168.56.102","37361","6200","75","TCP"
"1753735561.982803000","192.168.56.102","192.168.56.101","6200","37361","71","TCP"
"1753735561.982986000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735561.983178000","192.168.56.102","192.168.56.101","6200","37361","98","TCP"
"1753735561.983368000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735574.941089000","192.168.56.101","192.168.56.102","37361","6200","78","TCP"
"1753735574.946140000","192.168.56.102","192.168.56.101","6200","37361","119","TCP"
"1753735574.946145000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735604.064014000","192.168.56.101","192.168.56.102","37361","6200","71","TCP"
"1753735604.075232000","192.168.56.102","192.168.56.101","6200","37361","103","TCP"
"1753735604.075503000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735608.631689000","192.168.56.101","192.168.56.102","37361","6200","73","TCP"
"1753735608.633409000","192.168.56.102","192.168.56.101","6200","37361","71","TCP"
"1753735608.634093000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735612.070465000","192.168.56.101","192.168.56.102","37361","6200","75","TCP"
"1753735612.071592000","192.168.56.102","192.168.56.101","6200","37361","81","TCP"
"1753735612.071597000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735619.312032000","192.168.56.101","192.168.56.102","37361","6200","74","TCP"
"1753735619.325372000","192.168.56.102","192.168.56.101","6200","37361","70","TCP"
"1753735619.325734000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735619.325736000","192.168.56.102","192.168.56.101","6200","37361","114","TCP"
"1753735619.326209000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735627.893980000","192.168.56.101","192.168.56.102","37361","6200","76","TCP"
"1753735627.915232000","192.168.56.102","192.168.56.101","6200","37361","100","TCP"
"1753735627.915664000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735627.917529000","192.168.56.102","192.168.56.101","6200","37361","554","TCP"
"1753735627.917532000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735648.454099000","192.168.56.101","192.168.56.102","37361","6200","79","TCP"
"1753735648.454551000","192.168.56.102","192.168.56.101","6200","37361","67","TCP"
"1753735648.454555000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735648.454900000","192.168.56.102","192.168.56.101","6200","37361","71","TCP"
"1753735648.455441000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735648.455445000","192.168.56.102","192.168.56.101","6200","37361","73","TCP"
"1753735648.455858000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
"1753735648.455860000","192.168.56.102","192.168.56.101","6200","37361","71","TCP"
"1753735648.456003000","192.168.56.101","192.168.56.102","37361","6200","66","TCP"
