Protocol,Flag,Family,Clusters,SeddAddress,ExpAddress,BTC,USD,Netflow Bytes,IP Address,Threat Level,Port,Prediction,Payload Size,Number of Packets,Application Layer Data,User-Agent,Geolocation,Logistics ID,Anomaly Score,Event Description,Response Time,Session ID,Data Transfer Rate,Error Code,SourcePort,DestPort,Label,Time
TCP,FIN,Zero-Day,6,10.0.0.1,200.0.0.1,5.068739228120452,19053.5054029124,486664,10.0.0.1,Zero-Day Attack,60000,Attack Detected,2318,502,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_0,0.8070190310892876,Data Exfiltration,138.7522372988366,SYNTH_SESS_0,54.21601613767892,0,64303,55555,Simulated_ZeroDay,2024-09-14 15:04:52.607490
TCP,PSH,Zero-Day,6,10.0.0.1,203.0.113.1,4.153726967571694,34144.41846258211,430470,10.0.0.1,Zero-Day Attack,55555,Attack Detected,1383,1615,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_1,0.9598821831103796,Data Exfiltration,484.5304187125532,SYNTH_SESS_1,84.04901134172925,404,63384,55555,Simulated_ZeroDay,2024-12-10 15:04:52.607490
UDP,FIN,Unknown,8,10.0.0.1,203.0.113.1,2.090523131272918,45499.15648150081,741714,10.0.0.1,Zero-Day Attack,50000,Attack Detected,3148,1008,Suspicious_Command,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_2,0.9324090215473219,Suspicious Activity,259.3620352453494,SYNTH_SESS_2,81.44016276996581,404,56810,31337,Simulated_ZeroDay,2024-12-25 15:04:52.607490
UDP,FIN,Unknown,7,10.0.0.1,200.0.0.1,4.492003425874789,42126.31922789854,777303,10.0.0.1,Zero-Day Attack,60000,Attack Detected,3797,4529,Encrypted_Data,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_3,0.903954095918124,Suspicious Activity,289.5675201727168,SYNTH_SESS_3,177.32541366707633,0,55604,55555,Simulated_ZeroDay,2025-02-10 15:04:52.607490
UDP,PSH,Unknown,8,172.16.0.1,198.51.100.1,6.8869081384328945,16442.415493157892,949296,10.0.0.1,Zero-Day Attack,55555,Attack Detected,3595,1743,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_4,0.8563956802387931,Data Exfiltration,273.24734480754324,SYNTH_SESS_4,95.98753810723272,500,63820,60000,Simulated_ZeroDay,2024-12-21 15:04:52.607490
UDP,PSH,Unknown,5,172.16.0.1,200.0.0.1,8.18528256849263,31781.77318740661,103296,192.168.1.1,Zero-Day Attack,31337,Attack Detected,1329,1656,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_5,0.9207879036259521,C2 Communication,177.77771132578664,SYNTH_SESS_5,71.7219095506864,500,51284,50000,Simulated_ZeroDay,2025-01-06 15:04:52.607490
TCP,PSH,Unknown,9,192.168.1.1,203.0.113.1,6.432918824839084,42767.5441387172,374229,10.0.0.1,Zero-Day Attack,55555,Attack Detected,2079,4530,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_6,0.953214100027674,Suspicious Activity,255.85107815584425,SYNTH_SESS_6,130.0492505587726,404,51773,31337,Simulated_ZeroDay,2025-07-10 15:04:52.607490
UDP,PSH,Zero-Day,6,192.168.1.1,203.0.113.1,2.542978959821697,19562.796879753107,446152,10.0.0.1,Zero-Day Attack,60000,Attack Detected,2390,2311,Encrypted_Data,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_7,0.9046676874067636,Data Exfiltration,114.55503325705183,SYNTH_SESS_7,104.79257708416665,0,63346,55555,Simulated_ZeroDay,2024-10-07 15:04:52.607490
TCP,FIN,Zero-Day,7,172.16.0.1,200.0.0.1,6.708366409981009,8732.098188161759,337961,192.168.1.1,Zero-Day Attack,60000,Attack Detected,4728,1234,Suspicious_Command,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_8,0.8398135430477699,Suspicious Activity,425.7663794417164,SYNTH_SESS_8,68.50021658816804,500,54233,31337,Simulated_ZeroDay,2025-07-19 15:04:52.607490
UDP,RST,Zero-Day,6,172.16.0.1,203.0.113.1,3.557483006997602,14103.071365325222,398733,192.168.1.1,Zero-Day Attack,60000,Attack Detected,1153,624,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_9,0.9937614657472768,Suspicious Activity,311.7573008564222,SYNTH_SESS_9,54.42526321853453,0,61935,50000,Simulated_ZeroDay,2024-07-23 15:04:52.607490
TCP,PSH,Zero-Day,5,10.0.0.1,200.0.0.1,8.334870082574472,6061.56213236861,106571,192.168.1.1,Zero-Day Attack,50000,Attack Detected,4135,2819,Suspicious_Command,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_10,0.8622452406914675,Data Exfiltration,487.1243833016381,SYNTH_SESS_10,143.13239615190707,500,57210,55555,Simulated_ZeroDay,2025-06-25 15:04:52.607490
TCP,PSH,Unknown,8,192.168.1.1,198.51.100.1,7.504124149982489,28563.649569024314,473034,10.0.0.1,Zero-Day Attack,31337,Attack Detected,1412,2978,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_11,0.9407727377864801,Suspicious Activity,221.11686521118827,SYNTH_SESS_11,163.5046701697064,404,62804,31337,Simulated_ZeroDay,2024-09-20 15:04:52.607490
TCP,FIN,Unknown,9,172.16.0.1,200.0.0.1,5.869726088995443,48531.14953198707,713463,10.0.0.1,Zero-Day Attack,55555,Attack Detected,3684,2819,Encrypted_Data,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_12,0.8409993159696276,Data Exfiltration,172.2588582925373,SYNTH_SESS_12,160.0443034221991,500,54319,50000,Simulated_ZeroDay,2024-11-01 15:04:52.607490
UDP,PSH,Zero-Day,7,192.168.1.1,198.51.100.1,3.1267652348524027,41294.47443687649,383802,10.0.0.1,Zero-Day Attack,55555,Attack Detected,1183,1272,Encrypted_Data,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_13,0.9912852553711685,C2 Communication,404.99727544967334,SYNTH_SESS_13,56.087784940019105,500,56742,60000,Simulated_ZeroDay,2024-12-13 15:04:52.607490
TCP,FIN,Unknown,7,192.168.1.1,200.0.0.1,5.218203698744349,41953.50801870981,814996,192.168.1.1,Zero-Day Attack,60000,Attack Detected,2114,2853,Encrypted_Data,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_14,0.9010278435087616,Data Exfiltration,231.9430684671786,SYNTH_SESS_14,60.6187817055437,0,50198,31337,Simulated_ZeroDay,2025-03-24 15:04:52.607490
TCP,FIN,Unknown,6,192.168.1.1,198.51.100.1,3.6533646722738045,49880.363961129646,232159,10.0.0.1,Zero-Day Attack,31337,Attack Detected,1883,1133,Suspicious_Command,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_15,0.8296889594944507,C2 Communication,372.16238695362966,SYNTH_SESS_15,199.17304286620455,500,65212,55555,Simulated_ZeroDay,2025-01-08 15:04:52.607490
UDP,RST,Unknown,7,172.16.0.1,198.51.100.1,4.188367320023048,21574.76009774407,163035,10.0.0.1,Zero-Day Attack,31337,Attack Detected,783,3810,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_16,0.9343624836473777,C2 Communication,356.0301725700093,SYNTH_SESS_16,71.23089945110326,404,53798,31337,Simulated_ZeroDay,2024-10-26 15:04:52.607490
UDP,RST,Zero-Day,7,172.16.0.1,198.51.100.1,6.845967248566313,13594.172150730807,848202,192.168.1.1,Zero-Day Attack,55555,Attack Detected,1967,1632,Suspicious_Command,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_17,0.9014473236686238,Data Exfiltration,170.58516768149008,SYNTH_SESS_17,138.7390384982432,0,64187,55555,Simulated_ZeroDay,2025-01-29 15:04:52.607490
UDP,PSH,Unknown,8,192.168.1.1,203.0.113.1,6.0595309302400215,6711.3348790733,364705,10.0.0.1,Zero-Day Attack,31337,Attack Detected,1218,743,Suspicious_Command,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_18,0.9497809899496361,C2 Communication,309.14840842082356,SYNTH_SESS_18,64.26944273827351,404,62464,31337,Simulated_ZeroDay,2025-03-04 15:04:52.607490
TCP,PSH,Zero-Day,5,10.0.0.1,200.0.0.1,8.026166478261082,5892.309572930913,822579,10.0.0.1,Zero-Day Attack,60000,Attack Detected,3081,719,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_19,0.9530553217060475,Suspicious Activity,189.7146312287097,SYNTH_SESS_19,53.348267136660574,0,65304,50000,Simulated_ZeroDay,2025-03-25 15:04:52.607490
UDP,FIN,Zero-Day,8,172.16.0.1,200.0.0.1,6.179206621885853,15030.177249915256,601133,10.0.0.1,Zero-Day Attack,60000,Attack Detected,1750,3163,Suspicious_Command,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_20,0.8125889286435177,C2 Communication,332.89836120197543,SYNTH_SESS_20,195.4178952884064,0,62694,55555,Simulated_ZeroDay,2025-05-07 15:04:52.607490
UDP,PSH,Unknown,8,192.168.1.1,200.0.0.1,7.734147408460013,9660.536175586923,504794,192.168.1.1,Zero-Day Attack,55555,Attack Detected,1748,2692,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_21,0.9337883125282409,Data Exfiltration,481.1755948086811,SYNTH_SESS_21,62.18101495914517,500,59534,55555,Simulated_ZeroDay,2025-05-25 15:04:52.607490
UDP,RST,Zero-Day,8,172.16.0.1,200.0.0.1,8.743108574955139,38948.4536026219,654354,10.0.0.1,Zero-Day Attack,60000,Attack Detected,1602,4020,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_22,0.8619287432336329,Data Exfiltration,161.7740803802234,SYNTH_SESS_22,166.67327040473836,0,63024,31337,Simulated_ZeroDay,2024-09-06 15:04:52.607490
TCP,RST,Zero-Day,7,172.16.0.1,198.51.100.1,4.716018332729526,10134.960746436987,211881,10.0.0.1,Zero-Day Attack,31337,Attack Detected,2086,1987,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_23,0.8523348760367442,Suspicious Activity,436.11523010509364,SYNTH_SESS_23,73.36181039147307,0,63579,55555,Simulated_ZeroDay,2025-01-13 15:04:52.607490
TCP,RST,Zero-Day,8,10.0.0.1,200.0.0.1,4.156872358884355,33109.80536754697,455303,192.168.1.1,Zero-Day Attack,50000,Attack Detected,1486,4927,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_24,0.9652848084708457,Suspicious Activity,476.4208931109906,SYNTH_SESS_24,69.83106535642676,404,64610,60000,Simulated_ZeroDay,2024-08-28 15:04:52.607490
UDP,PSH,Zero-Day,5,172.16.0.1,200.0.0.1,8.710318927758747,41461.28934841374,584428,10.0.0.1,Zero-Day Attack,55555,Attack Detected,4124,1084,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_25,0.8619911097858303,Data Exfiltration,245.88950127249993,SYNTH_SESS_25,146.01831477713202,500,54152,31337,Simulated_ZeroDay,2024-10-20 15:04:52.607490
TCP,FIN,Unknown,9,10.0.0.1,203.0.113.1,2.340682679746188,43611.757308141074,558133,192.168.1.1,Zero-Day Attack,31337,Attack Detected,4053,1840,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_26,0.8121358427160759,C2 Communication,293.4356474461557,SYNTH_SESS_26,194.26181336537852,500,54478,50000,Simulated_ZeroDay,2025-04-27 15:04:52.607490
UDP,RST,Zero-Day,6,172.16.0.1,198.51.100.1,1.5538036677180753,43834.347263701886,325617,10.0.0.1,Zero-Day Attack,50000,Attack Detected,4408,3147,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_27,0.8737054656201265,Data Exfiltration,261.34618038667577,SYNTH_SESS_27,148.5817397608725,0,64731,60000,Simulated_ZeroDay,2024-12-26 15:04:52.607490
TCP,PSH,Unknown,5,192.168.1.1,203.0.113.1,3.3183795029943757,32772.316974904024,597373,192.168.1.1,Zero-Day Attack,55555,Attack Detected,1815,1277,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_28,0.930178463162361,C2 Communication,328.56352191406876,SYNTH_SESS_28,153.08856038196515,500,64603,50000,Simulated_ZeroDay,2025-01-31 15:04:52.607490
UDP,FIN,Unknown,7,10.0.0.1,198.51.100.1,2.2252734299600134,7760.013972892219,599349,10.0.0.1,Zero-Day Attack,55555,Attack Detected,3071,2219,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_29,0.901751637367601,C2 Communication,301.499452806775,SYNTH_SESS_29,150.62214414105637,500,62837,50000,Simulated_ZeroDay,2024-10-10 15:04:52.607490
TCP,PSH,Unknown,5,172.16.0.1,198.51.100.1,8.533656665202887,10292.888870311308,373198,10.0.0.1,Zero-Day Attack,50000,Attack Detected,3829,935,Encrypted_Data,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_30,0.9170236151124549,Data Exfiltration,264.61324113103205,SYNTH_SESS_30,129.63051070248474,0,50346,50000,Simulated_ZeroDay,2024-12-24 15:04:52.607490
TCP,FIN,Zero-Day,8,10.0.0.1,203.0.113.1,2.336169941628463,23702.530430617047,990348,10.0.0.1,Zero-Day Attack,50000,Attack Detected,1713,927,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_31,0.8965497074188977,Data Exfiltration,368.24107085799386,SYNTH_SESS_31,186.81638407893593,500,49370,60000,Simulated_ZeroDay,2025-02-27 15:04:52.607490
UDP,RST,Zero-Day,9,192.168.1.1,198.51.100.1,2.6407409033882656,32848.13196488577,804353,10.0.0.1,Zero-Day Attack,50000,Attack Detected,1191,2620,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_32,0.9438278174010614,Data Exfiltration,160.50554737907459,SYNTH_SESS_32,180.8496483116571,404,49481,55555,Simulated_ZeroDay,2025-06-16 15:04:52.607490
UDP,FIN,Unknown,5,172.16.0.1,203.0.113.1,7.351129445947552,25265.114384012424,180303,10.0.0.1,Zero-Day Attack,50000,Attack Detected,2530,3038,Suspicious_Command,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_33,0.8778257343475565,C2 Communication,113.23966598380655,SYNTH_SESS_33,113.1491345409098,0,55602,55555,Simulated_ZeroDay,2025-06-15 15:04:52.607490
UDP,PSH,Unknown,9,192.168.1.1,198.51.100.1,7.45248673304214,40102.63480771429,254475,192.168.1.1,Zero-Day Attack,50000,Attack Detected,1915,2627,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_34,0.8961376110306708,Data Exfiltration,273.7832518889404,SYNTH_SESS_34,196.55814734634134,404,51843,60000,Simulated_ZeroDay,2025-03-05 15:04:52.607490
TCP,FIN,Zero-Day,6,10.0.0.1,200.0.0.1,7.7155594819073325,18947.835424303958,223016,192.168.1.1,Zero-Day Attack,50000,Attack Detected,877,941,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_35,0.809012410398861,C2 Communication,145.65326278831162,SYNTH_SESS_35,166.59353143536123,0,59433,55555,Simulated_ZeroDay,2025-07-07 15:04:52.607490
UDP,RST,Zero-Day,5,10.0.0.1,198.51.100.1,4.59127917666782,35986.201255330256,573268,10.0.0.1,Zero-Day Attack,50000,Attack Detected,3261,2981,Suspicious_Command,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_36,0.9331357328681388,Suspicious Activity,497.9433213022782,SYNTH_SESS_36,134.4260495513098,500,61713,31337,Simulated_ZeroDay,2025-07-20 15:04:52.607490
TCP,FIN,Zero-Day,8,172.16.0.1,200.0.0.1,9.43980668969894,40534.30671791801,498925,192.168.1.1,Zero-Day Attack,60000,Attack Detected,4153,683,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_37,0.9191503683447051,Suspicious Activity,327.4184020466814,SYNTH_SESS_37,151.8605935934531,0,55766,31337,Simulated_ZeroDay,2024-09-04 15:04:52.607490
UDP,FIN,Unknown,7,10.0.0.1,200.0.0.1,2.1939208761439164,24064.298357336455,554052,192.168.1.1,Zero-Day Attack,55555,Attack Detected,3391,4982,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_38,0.9289660275410543,C2 Communication,237.89532141309476,SYNTH_SESS_38,85.71160953620748,500,60407,60000,Simulated_ZeroDay,2024-09-10 15:04:52.607490
TCP,RST,Zero-Day,8,172.16.0.1,203.0.113.1,5.735859741592794,43216.66460287959,213756,192.168.1.1,Zero-Day Attack,50000,Attack Detected,841,2350,Encrypted_Data,Mozilla/5.0 (Custom),Foreign,SYNTH_LOG_39,0.8155763915904114,C2 Communication,112.60010536737597,SYNTH_SESS_39,127.92550274771733,404,54805,55555,Simulated_ZeroDay,2024-08-04 15:04:52.607490
UDP,RST,Zero-Day,9,10.0.0.1,203.0.113.1,3.8295321306611023,40680.08627472282,913176,192.168.1.1,Zero-Day Attack,50000,Attack Detected,847,3008,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_40,0.9927506174561294,C2 Communication,185.9628803359708,SYNTH_SESS_40,124.3801807737335,500,59402,31337,Simulated_ZeroDay,2025-02-16 15:04:52.607490
UDP,FIN,Zero-Day,7,172.16.0.1,203.0.113.1,3.561974663811034,25138.85651474279,539098,10.0.0.1,Zero-Day Attack,60000,Attack Detected,3844,1417,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_41,0.917780805194995,C2 Communication,324.8200765671786,SYNTH_SESS_41,130.09311261542024,0,58652,31337,Simulated_ZeroDay,2024-09-02 15:04:52.607490
UDP,PSH,Zero-Day,9,192.168.1.1,200.0.0.1,7.655446597445545,13322.057907812643,875891,192.168.1.1,Zero-Day Attack,60000,Attack Detected,2267,3492,Encrypted_Data,Python-Requests/2.28.1,Foreign,SYNTH_LOG_42,0.9747385716102308,Suspicious Activity,176.92688386962908,SYNTH_SESS_42,96.67861189971788,404,52875,55555,Simulated_ZeroDay,2024-08-30 15:04:52.607490
UDP,RST,Zero-Day,7,192.168.1.1,200.0.0.1,1.9769636956478471,6393.783235764478,531930,192.168.1.1,Zero-Day Attack,55555,Attack Detected,4095,1728,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_43,0.8488171809689474,C2 Communication,207.98880780366858,SYNTH_SESS_43,176.03419562418725,404,63746,60000,Simulated_ZeroDay,2024-08-10 15:04:52.607490
TCP,FIN,Zero-Day,6,192.168.1.1,203.0.113.1,3.5867067287125827,22407.136043615297,972784,10.0.0.1,Zero-Day Attack,31337,Attack Detected,2072,4710,Encrypted_Data,Python-Requests/2.28.1,Unknown,SYNTH_LOG_44,0.9525967048694794,Suspicious Activity,343.318956926064,SYNTH_SESS_44,86.76054587679798,0,49264,55555,Simulated_ZeroDay,2024-11-13 15:04:52.607490
UDP,FIN,Zero-Day,6,10.0.0.1,198.51.100.1,7.956153631149148,20269.230074728148,771885,10.0.0.1,Zero-Day Attack,55555,Attack Detected,1509,2902,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_45,0.9866270146055354,Suspicious Activity,321.18987341805285,SYNTH_SESS_45,108.66957164619704,404,63990,55555,Simulated_ZeroDay,2025-02-13 15:04:52.607490
TCP,RST,Unknown,8,172.16.0.1,203.0.113.1,9.167779836778317,26198.66251148315,881897,192.168.1.1,Zero-Day Attack,55555,Attack Detected,2340,555,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_46,0.9432893453615958,C2 Communication,164.1346635914001,SYNTH_SESS_46,113.59233212750685,500,54521,50000,Simulated_ZeroDay,2024-09-28 15:04:52.607490
TCP,PSH,Unknown,7,10.0.0.1,198.51.100.1,1.8864260694735615,39248.240775806975,673448,10.0.0.1,Zero-Day Attack,31337,Attack Detected,3849,4256,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_47,0.916667030047288,Suspicious Activity,131.39567322473428,SYNTH_SESS_47,169.59350818126342,404,57220,50000,Simulated_ZeroDay,2024-10-02 15:04:52.607490
UDP,PSH,Zero-Day,5,10.0.0.1,198.51.100.1,9.621639492539051,30077.692800112913,778237,10.0.0.1,Zero-Day Attack,55555,Attack Detected,2373,4058,Suspicious_Command,Python-Requests/2.28.1,Foreign,SYNTH_LOG_48,0.8865120699554772,Suspicious Activity,128.63710184179467,SYNTH_SESS_48,179.6509364667556,404,58151,50000,Simulated_ZeroDay,2025-01-10 15:04:52.607490
UDP,RST,Zero-Day,8,10.0.0.1,198.51.100.1,9.00409418898605,25590.904356012303,996475,192.168.1.1,Zero-Day Attack,55555,Attack Detected,1172,2622,Suspicious_Command,Python-Requests/2.28.1,Unknown,SYNTH_LOG_49,0.8149835737759713,Data Exfiltration,431.308703146505,SYNTH_SESS_49,155.81616894150324,0,57334,50000,Simulated_ZeroDay,2025-05-25 15:04:52.607490
UDP,RST,Zero-Day,8,172.16.0.1,203.0.113.1,4.212218430081149,33632.92039482367,683513,192.168.1.1,Zero-Day Attack,60000,Attack Detected,2409,4688,Suspicious_Command,Mozilla/5.0 (Custom),Unknown,SYNTH_LOG_50,0.9423612334243661,C2 Communication,400.9498147629203,SYNTH_SESS_50,112.26500419578906,404,61567,31337,Simulated_ZeroDay,2025-04-09 15:04:52.607490
